=== TRPG 던전 시작 (두란·카야·피른 / Haiku 두뇌 / GM 없음 / 구독 과금 0)  56x20  지하1층  몬스터2 함정3 매복1 ===
-- tick 1 --  (사고:1·2·3 / 나머지 자동보행)
   봇1 💬 "계단을 찾자!"
   봇3 💬 "서쪽 길이 우리를 기다리고 있어. 함께 살펴볼까?"
   봇3  탐색 -> W 방향 자동보행
-- tick 31 --  (사고:- / 나머지 자동보행)
   봇1  [28, 12] (자동보행)
   봇2  [40, 7] (자동보행)
   봇3  [25, 12] (자동보행)
-- tick 32 --  (사고:- / 나머지 자동보행)
   봇1  [29, 12] (자동보행)
   봇2  [41, 7] (자동보행)
   봇3  [24, 12] (자동보행)
-- tick 33 --  (사고:- / 나머지 자동보행)
   봇1  [30, 12] (자동보행)
   봇2  [42, 7] (도착)
   봇3  [23, 12] (도착)
-- tick 34 --  (사고:2·3 / 나머지 자동보행)
   봇1  [31, 12] (자동보행)
   봇2 💬 "계단이 안 보여. 남쪽을 더 봐야겠어."
   봇2  탐색 -> SW 방향 자동보행
   봇3  b1 핑 -> 자동보행 개시
-- tick 35 --  (사고:- / 나머지 자동보행)
   봇1  [32, 12] (자동보행)
   봇2  [41, 7] (자동보행)
   봇3  [24, 12] (자동보행)
-- tick 36 --  (사고:- / 나머지 자동보행)
   봇1  [33, 12] (자동보행)
   봇2  [40, 7] (자동보행)
   봇3  [25, 12] (자동보행)
-- tick 37 --  (사고:- / 나머지 자동보행)
   봇1  [34, 12] (자동보행)
   봇2  [39, 8] (도착)
   봇3  [26, 12] (자동보행)
-- tick 38 --  (사고:2 / 나머지 자동보행)
   봇1  [35, 12] (자동보행)
   봇2  탐색 -> E 방향 자동보행
   봇3  [27, 12] (자동보행)
-- tick 39 --  (사고:- / 나머지 자동보행)
   봇1  [36, 12] (자동보행)
   봇2  [40, 8] (자동보행)
   봇3  [28, 12] (자동보행)
-- tick 40 --  (사고:- / 나머지 자동보행)
   봇1  [37, 12] (자동보행)
   봇2  [41, 8] (자동보행)
   봇3  [29, 12] (자동보행)
-- tick 41 --  (사고:- / 나머지 자동보행)
   봇1  [38, 12] (자동보행)
   봇2  [42, 8] (도착)
   봇3  [30, 12] (도착)
-- tick 42 --  (사고:2·3 / 나머지 자동보행)
   봇1  [39, 12] (자동보행)
   봇2 💬 "함정부터 살핀다"
   봇2  샅샅이 살폈다(반경2) — 아무것도 없음
   봇3 💬 "아직 안 간 남동쪽을 살펴보자"
   봇3  탐색 -> SE 방향 자동보행
-- tick 43 --  (사고:2 / 나머지 자동보행)
   봇1  [40, 12] (자동보행)
   봇2  탐색 -> NW 방향 자동보행
   봇3  [31, 12] (자동보행)
-- tick 44 --  (사고:- / 나머지 자동보행)
   봇1  [40, 11] (자동보행)
   봇2  [41, 8] (자동보행)
   봇3  [32, 12] (자동보행)
-- tick 45 --  (사고:- / 나머지 자동보행)
   봇1  [40, 10] (자동보행)
   봇2  [40, 7] (자동보행)
   봇3  [33, 13] (도착)
-- tick 46 --  (사고:3 / 나머지 자동보행)
   봇1  [40, 9] (자동보행)
   봇2  [39, 6] (도착)
   봇3  탐색 — 더 볼 곳 없음, 출구로 향함 [규칙]
-- tick 47 --  (사고:2 / 나머지 자동보행)
   봇1  [39, 8] (도착)
   봇2 💬 "동쪽을 살펴보자"
   봇2  탐색 -> E 방향 자동보행
   봇3  [32, 13] (자동보행)
-- tick 48 --  (사고:1 / 나머지 자동보행)
   봇1 💬 "가자!"
   봇1  탐색 -> NE 방향 자동보행
   봇2  [40, 6] (자동보행)
   봇3  [31, 13] (자동보행)
-- tick 49 --  (사고:- / 나머지 자동보행)
   봇1  [40, 8] (자동보행)
   봇2  [41, 7] (자동보행)
   봇3  [30, 13] (자동보행)
-- tick 50 --  (사고:- / 나머지 자동보행)
   봇1  [41, 8] (자동보행)
   봇2  [42, 6] (도착)
   봇3  [29, 12] (자동보행)
-- tick 51 --  (사고:2 / 나머지 자동보행)
   봇1  [42, 8] (자동보행)
   봇2 💬 "함정 있다. 합쳐서 찾자."
   봇2  b1 핑 -> 자동보행 개시
   봇3  [28, 12] (자동보행)
-- tick 52 --  (사고:- / 나머지 자동보행)
   봇1  [42, 7] (자동보행)
   봇2  보행 정지 — 독침 함정! 2피해
   봇3  [27, 12] (자동보행)
-- tick 53 --  (사고:2 / 나머지 자동보행)
   봇1  [42, 6] (도착)
   봇2 💬 "피른, 어디야? 먼저 모이자."
   봇2  b3 핑 -> 자동보행 개시
   봇3  [26, 12] (자동보행)
-- tick 54 --  (사고:1 / 나머지 자동보행)
   봇1 💬 "피른을 데려온다!"
   봇1  b3 핑 -> 자동보행 개시
   봇2  [41, 7] (자동보행)
   봇3  [25, 12] (자동보행)
-- tick 55 --  (사고:- / 나머지 자동보행)
   봇1  [42, 7] (자동보행)
   봇2  [41, 8] (자동보행)
   봇3  [24, 12] (자동보행)
-- tick 56 --  (사고:- / 나머지 자동보행)
   봇1  [42, 8] (자동보행)
   봇2  [40, 9] (자동보행)
   봇3  [23, 12] (자동보행)
-- tick 57 --  (사고:- / 나머지 자동보행)
   봇1  [42, 9] (자동보행)
   봇2  [40, 10] (자동보행)
   봇3  [22, 12] (자동보행)
-- tick 58 --  (사고:- / 나머지 자동보행)
   봇1  [41, 9] (자동보행)
   봇2  [40, 11] (자동보행)
   봇3  [21, 12] (자동보행)
-- tick 59 --  (사고:- / 나머지 자동보행)
   봇1  [40, 9] (자동보행)
   봇2  [40, 12] (자동보행)
   봇3  [20, 12] (자동보행)
-- tick 60 --  (사고:- / 나머지 자동보행)
   봇1  [40, 10] (자동보행)
   봇2  [39, 12] (자동보행)
   봇3  [19, 12] (자동보행)
-- tick 61 --  (사고:- / 나머지 자동보행)
   봇1  [40, 11] (자동보행)
   봇2  [38, 12] (자동보행)
   봇3  [18, 12] (자동보행)
-- tick 62 --  (사고:- / 나머지 자동보행)
   봇1  [40, 12] (자동보행)
   봇2  [37, 12] (자동보행)
   봇3  [17, 12] (자동보행)
-- tick 63 --  (사고:- / 나머지 자동보행)
   봇1  [39, 12] (자동보행)
   봇2  [36, 12] (자동보행)
   봇3  [16, 12] (자동보행)
-- tick 64 --  (사고:- / 나머지 자동보행)
   봇1  [38, 12] (자동보행)
   봇2  [35, 12] (자동보행)
   봇3  보행 정지 — 경보 함정 회피!
-- tick 65 --  (사고:3 / 나머지 자동보행)
   봇1  [37, 12] (자동보행)
   봇2  [34, 12] (자동보행)
   봇3 💬 "두란, 카야? 이리로 나와"
   봇3  탐색 -> W 방향 자동보행
-- tick 66 --  (사고:- / 나머지 자동보행)
   봇1  [36, 12] (자동보행)
   봇2  [33, 12] (자동보행)
   봇3  [14, 12] (자동보행)
-- tick 67 --  (사고:- / 나머지 자동보행)
   봇1  [35, 12] (자동보행)
   봇2  [32, 12] (자동보행)
   봇3  [13, 12] (도착)
-- tick 68 --  (사고:3 / 나머지 자동보행)
   봇1  [34, 12] (자동보행)
   봇2  [31, 12] (자동보행)
   봇3 💬 "두란, 어디야?"
   봇3  b1 핑 -> 자동보행 개시
-- tick 69 --  (사고:- / 나머지 자동보행)
   봇1  [33, 12] (자동보행)
   봇2  [30, 12] (자동보행)
   봇3  [14, 12] (자동보행)
-- tick 70 --  (사고:- / 나머지 자동보행)
   봇1  [32, 12] (자동보행)
   봇2  [29, 12] (자동보행)
   봇3  [15, 12] (자동보행)
-- tick 71 --  (사고:- / 나머지 자동보행)
   봇1  [31, 12] (자동보행)
   봇2  [28, 12] (도착)
   봇3  [16, 12] (자동보행)
-- tick 72 --  (사고:2 / 나머지 자동보행)
   봇1  [30, 12] (자동보행)
   봇2 💬 "함정부터 살필게"
   봇2  샅샅이 살폈다(반경2) — 아무것도 없음
   봇3  [17, 12] (자동보행)
-- tick 73 --  (사고:2 / 나머지 자동보행)
   봇1  [29, 12] (자동보행)
   봇2  탐색 -> SW 방향 자동보행
   봇3  [18, 12] (자동보행)
-- tick 74 --  (사고:- / 나머지 자동보행)
   봇1  ? (길 막힘)
   봇2  [27, 12] (자동보행)
   봇3  [19, 12] (자동보행)
-- tick 75 --  (사고:1 / 나머지 자동보행)
   봇1 💬 "이리 와, 카야! 피른은 어디다?"
   봇1  b2 핑 -> 자동보행 개시
   봇2  [26, 12] (자동보행)
   봇3  [20, 12] (자동보행)
-- tick 76 --  (사고:- / 나머지 자동보행)
   봇1  [28, 12] (도착)
   봇2  [25, 13] (도착)
   봇3  [21, 12] (자동보행)
-- tick 77 --  (사고:1·2 / 나머지 자동보행)
   봇1 💬 "모여!"
   봇1  b2 핑 -> 자동보행 개시
   봇2  탐색 -> W 방향 자동보행
   봇3  [22, 12] (자동보행)
-- tick 78 --  (사고:- / 나머지 자동보행)
   봇1  [27, 12] (자동보행)
   봇2  [24, 13] (자동보행)
   봇3  [23, 12] (자동보행)
-- tick 79 --  (사고:- / 나머지 자동보행)
   봇1  [26, 12] (자동보행)
   봇2  [23, 13] (도착)
   봇3  [24, 12] (자동보행)
-- tick 80 --  (사고:2 / 나머지 자동보행)
   봇1  [26, 13] (도착)
   봇2 💬 "계단부터 찾자"
   봇2  b3 핑 -> 자동보행 개시
   봇3  [25, 12] (자동보행)
-- tick 81 --  (사고:1 / 나머지 자동보행)
   봇1 💬 "계단을 찾으러 간다"
   봇1  탐색 -> NW 방향 자동보행
   봇2  [23, 12] (도착)
   봇3  [26, 12] (자동보행)
-- tick 82 --  (사고:2 / 나머지 자동보행)
   봇1  [25, 13] (자동보행)
   봇2 💬 "북쪽부터 봐야겠다"
   봇2  탐색 -> N 방향 자동보행
   봇3  [27, 12] (자동보행)
-- tick 83 --  (사고:- / 나머지 자동보행)
   봇1  [25, 12] (자동보행)
   봇2  [23, 11] (자동보행)
   봇3  [28, 12] (자동보행)
-- tick 84 --  (사고:- / 나머지 자동보행)
   봇1  [25, 11] (자동보행)
   봇2  [23, 10] (자동보행)
   봇3  [29, 12] (자동보행)
-- tick 85 --  (사고:- / 나머지 자동보행)
   봇1  [25, 10] (도착)
   봇2  [23, 9] (도착)
   봇3  [30, 11] (자동보행)
-- tick 86 --  (사고:1·2 / 나머지 자동보행)
   봇1  b2 핑 -> 자동보행 개시
   봇2  탐색 -> SE 방향 자동보행
   봇3  [31, 11] (자동보행)
-- tick 87 --  (사고:- / 나머지 자동보행)
   봇1  [24, 10] (자동보행)
   봇2  [23, 10] (자동보행)
   봇3  [32, 11] (자동보행)
-- tick 88 --  (사고:- / 나머지 자동보행)
   봇1  [24, 11] (자동보행)
   봇2  [24, 10] (자동보행)
   봇3  [33, 12] (도착)
-- tick 89 --  (사고:3 / 나머지 자동보행)
   봇1  [23, 11] (도착)
   봇2  [25, 10] (자동보행)
   봇3 💬 "두란, 어디야?"
   봇3  b1 핑 -> 자동보행 개시
-- tick 90 --  (사고:1 / 나머지 자동보행)
   봇1 💬 "카야! 이리 와라!"
   봇1  b2 핑 -> 자동보행 개시
   봇2  [26, 11] (도착)
   봇3  [32, 12] (자동보행)
-- tick 91 --  (사고:2 / 나머지 자동보행)
   봇1  [24, 10] (도착)
   봇2  b1 핑 -> 자동보행 개시
   봇3  [31, 12] (자동보행)
-- tick 92 --  (사고:1 / 나머지 자동보행)
   봇1  b2 핑 -> 자동보행 개시
   봇2  [25, 10] (도착)
   봇3  [30, 12] (자동보행)
-- tick 93 --  (사고:2 / 나머지 자동보행)
   봇1  [25, 11] (도착)
   봇2 💬 "따라와"
   봇2  탐색 -> SW 방향 자동보행
   봇3  [29, 12] (자동보행)
-- tick 94 --  (사고:1 / 나머지 자동보행)
   봇1 💬 "따라간다!"
   봇1  b2 핑 -> 자동보행 개시
   봇2  [24, 10] (자동보행)
   봇3  [28, 12] (자동보행)
-- tick 95 --  (사고:- / 나머지 자동보행)
   봇1  [26, 11] (자동보행)
   봇2  [23, 10] (자동보행)
   봇3  [27, 12] (자동보행)
-- tick 96 --  (사고:- / 나머지 자동보행)
   봇1  [26, 10] (도착)
   봇2  [22, 11] (도착)
   봇3  [26, 12] (자동보행)
-- tick 97 --  (사고:1·2 / 나머지 자동보행)
   봇1  b2 핑 -> 자동보행 개시
   봇2  탐색 -> W 방향 자동보행
   봇3  [25, 12] (자동보행)
-- tick 98 --  (사고:- / 나머지 자동보행)
   봇1  [25, 10] (자동보행)
   봇2  [21, 11] (자동보행)
   봇3  [24, 11] (도착)
-- tick 99 --  (사고:3 / 나머지 자동보행)
   봇1  [24, 10] (자동보행)
   봇2  [20, 11] (자동보행)
   봇3 💬 "미지로 나아가자, 함께!"
   봇3  탐색 -> NW 방향 자동보행
-- tick 100 --  (사고:- / 나머지 자동보행)
   봇1  [23, 11] (도착)
   봇2  [19, 11] (도착)
   봇3  [24, 10] (자동보행)
-- tick 101 --  (사고:1·2 / 나머지 자동보행)
   봇1 💬 "피른, 뒤따라와!"
   봇1  탐색 -> NW 방향 자동보행
   봇2  탐색 -> SE 방향 자동보행
   봇3  [23, 10] (자동보행)
-- tick 102 --  (사고:- / 나머지 자동보행)
   봇1  [22, 11] (자동보행)
   봇2  [20, 11] (자동보행)
   봇3  [22, 10] (자동보행)
-- tick 103 --  (사고:- / 나머지 자동보행)
   봇1  [21, 11] (자동보행)
   봇2  [21, 12] (자동보행)
   봇3  [21, 10] (도착)
-- tick 104 --  (사고:3 / 나머지 자동보행)
   봇1  [20, 10] (도착)
   봇2  [22, 13] (도착)
   봇3 💬 "둘 다 모이자. 남쪽을 살펴보자."
   봇3  b2 핑 -> 자동보행 개시
-- tick 105 --  (사고:1·2 / 나머지 자동보행)
   봇1 💬 "모여라!"
   봇1  b2 핑 -> 자동보행 개시
   봇2 💬 "모이자, 남쪽은 벽이야."
   봇2  b1 핑 -> 자동보행 개시
   봇3  [21, 11] (자동보행)
-- tick 106 --  (사고:- / 나머지 자동보행)
   봇1  [20, 11] (자동보행)
   봇2  [21, 12] (자동보행)
   봇3  [22, 12] (도착)
-- tick 107 --  (사고:3 / 나머지 자동보행)
   봇1  [20, 12] (자동보행)
   봇2  [20, 11] (도착)
   봇3 💬 "북서쪽이 궁금한데, 어떻게 생각해?"
   봇3  탐색 -> NW 방향 자동보행
-- tick 108 --  (사고:2 / 나머지 자동보행)
   봇1  [21, 13] (도착)
   봇2 💬 "가볼 만해. 유일하게 안 간 곳이니."
   봇2  탐색 -> NW 방향 자동보행
   봇3  [22, 11] (자동보행)
-- tick 109 --  (사고:1 / 나머지 자동보행)
   봇1 💬 "카야 말이 맞다. 서쪽부터 뛰자!"
   봇1  탐색 -> W 방향 자동보행
   봇2  [20, 10] (자동보행)
   봇3  [21, 10] (자동보행)
-- tick 110 --  (사고:- / 나머지 자동보행)
   봇1  [20, 13] (자동보행)
   봇2  [19, 9] (자동보행)
   봇3  [20, 10] (자동보행)
-- tick 111 --  (사고:- / 나머지 자동보행)
   봇1  [19, 13] (도착)
   봇2  [18, 9] (도착)
   봇3  [19, 10] (도착)
-- tick 112 --  (사고:1·2·3 / 나머지 자동보행)
   봇1 💬 "계단을 찾을 때까지 계속 간다!"
   봇1  탐색 — 더 볼 곳 없음, 출구로 향함
   봇2 💬 "함정부터 살필게"
   봇2  샅샅이 살폈다(반경2) — 아무것도 없음
   봇3 💬 "도적, 저쪽 미지로 함께 가보자"
   봇3  b2 핑 -> 자동보행 개시
-- tick 113 --  (사고:2 / 나머지 자동보행)
   봇1  [19, 12] (자동보행)
   봇2 💬 "함께 가자, 조심해서."
   봇2  탐색 -> W 방향 자동보행
   봇3  [19, 9] (도착)
-- tick 114 --  (사고:3 / 나머지 자동보행)
   봇1  [18, 12] (자동보행)
   봇2  [17, 9] (자동보행)
   봇3 💬 "그럼 서쪽을 살펴보자. 조심해서."
   봇3  탐색 — 더 볼 곳 없음, 출구로 향함
-- tick 115 --  (사고:- / 나머지 자동보행)
   봇1  [17, 12] (자동보행)
   봇2  [16, 9] (도착)
   봇3  [18, 9] (도착)
-- tick 116 --  (사고:2·3 / 나머지 자동보행)
   봇1  [16, 12] (자동보행)
   봇2 💬 "함정부터 살필게"
   봇2  샅샅이 살폈다(반경2) — 아무것도 없음
   봇3 💬 "어디 가고 있었어? 계단을 찾고 있어?"
   봇3  b2 핑 -> 자동보행 개시
-- tick 117 --  (사고:2 / 나머지 자동보행)
   봇1  [15, 12] (자동보행)
   봇2 💬 "응, 계단이 안 보여"
   봇2  탐색 -> W 방향 자동보행
   봇3  [17, 9] (도착)
-- tick 118 --  (사고:3 / 나머지 자동보행)
   봇1  [14, 12] (자동보행)
   봇2  [15, 9] (자동보행)
   봇3 💬 "그럼 이렇게 하는 건 어때? 아직 안 가본 서쪽으로 가서 계단을 찾아보자"
   봇3  탐색 — 더 볼 곳 없음, 출구로 향함
-- tick 119 --  (사고:- / 나머지 자동보행)
   봇1  [13, 12] (자동보행)
   봇2  [14, 9] (도착)
   봇3  [18, 9] (자동보행)
-- tick 120 --  (사고:2 / 나머지 자동보행)
   봇1  [12, 11] (자동보행)
   봇2  탐색 -> NW 방향 자동보행 [규칙]
   봇3  [19, 9] (자동보행)
-- tick 121 --  (사고:- / 나머지 자동보행)
   봇1  보행 정지 — 가시 함정 회피!
   봇2  [13, 9] (자동보행)
   봇3  [19, 10] (자동보행)
-- tick 122 --  (사고:1 / 나머지 자동보행)
   봇1 💬 "모이자! 피른을 찾아야 한다"
   봇1  b2 핑 -> 자동보행 개시
   봇2  [12, 8] (자동보행)
   봇3  [19, 11] (자동보행)
-- tick 123 --  (사고:- / 나머지 자동보행)
   봇1  [12, 9] (도착)
   봇2  [11, 7] (도착)
   봇3  [19, 12] (자동보행)
-- tick 124 --  (사고:1·2 / 나머지 자동보행)
   봇1 💬 "피른이를 찾자!"
   봇1  b3 핑 -> 자동보행 개시
   봇2 💬 "보물을 챙기자, 이리 와"
   봇2  f3 핑 -> 자동보행 개시
   봇3  [18, 12] (자동보행)
-- tick 125 --  (사고:- / 나머지 자동보행)
   봇1  [12, 10] (자동보행)
   봇2  [10, 7] (자동보행)
   봇3  [17, 12] (자동보행)
-- tick 126 --  (사고:- / 나머지 자동보행)
   봇1  [13, 11] (자동보행)
   봇2  [9, 8] (자동보행)
   봇3  [16, 12] (자동보행)
-- tick 127 --  (사고:- / 나머지 자동보행)
   봇1  [14, 12] (자동보행)
   봇2  [8, 9] ($ 획득)
   봇3  [15, 12] (도착)
-- tick 128 --  (사고:3 / 나머지 자동보행)
   봇1  [14, 11] (자동보행)
   봇2  ? (도착)
   봇3  탐색 -> W 방향 자동보행 [규칙]
-- tick 129 --  (사고:2 / 나머지 자동보행)
   봇1  [14, 10] (자동보행)
   봇2  b1 핑 -> 자동보행 개시
   봇3  [14, 12] (자동보행)
-- tick 130 --  (사고:- / 나머지 자동보행)
   봇1  [14, 9] (자동보행)
   봇2  [9, 9] (자동보행)
   봇3  [13, 12] (자동보행)
-- tick 131 --  (사고:- / 나머지 자동보행)
   봇1  [15, 9] (자동보행)
   봇2  [10, 9] (계단 앞에 섰다)
   봇3  [12, 12] (도착)
-- tick 132 --  (사고:2·3 / 나머지 자동보행)
   봇1  [16, 9] (자동보행)
   봇2 💬 "계단 찾았다"
   봇2  b1 핑 -> 자동보행 개시
   봇3 💬 "저곳으로 가자, 모두 함께"
   봇3  exit 핑 -> 자동보행 개시
-- tick 133 --  (사고:- / 나머지 자동보행)
   봇1  [17, 9] (자동보행)
   봇2  [11, 9] (자동보행)
   봇3  [11, 11] (자동보행)
-- tick 134 --  (사고:- / 나머지 자동보행)
   봇1  [18, 9] (자동보행)
   봇2  [12, 9] (자동보행)
   봇3  [10, 10] (도착)
-- tick 135 --  (사고:3 / 나머지 자동보행)
   봇1  [19, 9] (자동보행)
   봇2  [13, 9] (자동보행)
   봇3 💬 "카야, 두란이는 어디쯤이야?"
   봇3  b2 핑 -> 자동보행 개시
-- tick 136 --  (사고:- / 나머지 자동보행)
   봇1  [19, 10] (자동보행)
   봇2  [14, 9] (자동보행)
   봇3  [11, 10] (자동보행)
-- tick 137 --  (사고:- / 나머지 자동보행)
   봇1  [19, 11] (자동보행)
   봇2  [15, 9] (도착)
   봇3  [12, 9] (도착)
-- tick 138 --  (사고:2·3 / 나머지 자동보행)
   봇1  [19, 12] (자동보행)
   봇2  탐색 -> NW 방향 자동보행
   봇3 💬 "카야, 여긴 뭐가 보여?"
   봇3  b2 핑 -> 자동보행 개시
-- tick 139 --  (사고:- / 나머지 자동보행)
   봇1  [18, 12] (자동보행)
   봇2  [14, 9] (자동보행)
   봇3  [13, 9] (자동보행)
-- tick 140 --  (사고:- / 나머지 자동보행)
   봇1  [17, 12] (자동보행)
   봇2  [14, 8] (자동보행)
   봇3  [14, 9] (도착)
-- tick 141 --  (사고:3 / 나머지 자동보행)
   봇1  [16, 12] (도착)
   봇2  [14, 7] (도착)
   봇3 💬 "이 길로 가봐?"
   봇3  탐색 -> SW 방향 자동보행
-- tick 142 --  (사고:1·2 / 나머지 자동보행)
   봇1 💬 "카야!"
   봇1  b2 핑 -> 자동보행 개시
   봇2  탐색 -> W 방향 자동보행 [규칙]
   봇3  [13, 10] (자동보행)
-- tick 143 --  (사고:- / 나머지 자동보행)
   봇1  [15, 12] (자동보행)
   봇2  [13, 7] (자동보행)
   봇3  [12, 11] (자동보행)
-- tick 144 --  (사고:- / 나머지 자동보행)
   봇1  [14, 12] (자동보행)
   봇2  [12, 7] (도착)
   봇3  [11, 12] (도착)
-- tick 145 --  (사고:2·3 / 나머지 자동보행)
   봇1  [14, 11] (자동보행)
   봇2 💬 "샘에서 한 모금"
   봇2  f5 핑 -> 자동보행 개시
   봇3 💬 "두란, 계단을 찾았어. 거기서 만나자"
   봇3  exit 핑 -> 자동보행 개시
-- tick 146 --  (사고:- / 나머지 자동보행)
   봇1  [13, 10] (자동보행)
   봇2  [11, 8] (도착)
   봇3  [11, 11] (자동보행)
-- tick 147 --  (사고:2 / 나머지 자동보행)
   봇1  [13, 9] (자동보행)
   봇2 💬 "계단이다. 모이자."
   봇2  exit 핑 -> 자동보행 개시
   봇3  [11, 10] (자동보행)
-- tick 148 --  (사고:- / 나머지 자동보행)
   봇1  [13, 8] (자동보행)
