=== TRPG 던전 시작 (두란·카야·피른 / Haiku 두뇌 / Sonnet GM / 구독 과금 0)  56x20  지하2층  몬스터2 함정3 매복1 ===
-- tick 1 --  (사고:1·2·3 / 나머지 자동보행)
   봇1 💬 "카야, 앞장!"
   GM(t5): 어두운 통로를 따라 두란의 묵직한 발소리와 카야의 조용한 걸음이 나란히 겹쳐진다. 서로의 곁을 지키듯 나아가는 둘 사이엔 말이 필요 없다. 그 뒤로 피른이 종종걸음을 놓지 않고 거리를 좁혀와, 마침내 두란의 곁에 다다라 선다. 셋의 걸음이 한자리에 모인다.
-- tick 6 --  (사고:3 / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3 💬 "두란, 어디로 가든 함께하자."
   봇3  동행 개시 — 이미 곁, 따라 걷는다 (b1)
-- tick 7 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 8 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 9 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 10 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 11 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 12 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 13 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 14 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 15 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 16 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 17 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 18 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 19 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
   GM(t6): 어두운 통로에서 두란은 성큼성큼 카야의 발치를 좇고, 카야는 반대로 두란의 그림자를 놓치지 않으려 잰걸음을 옮긴다. 그 뒤로 피른이 두란의 등을 향해 발을 맞추며 나직이 읊조린다. "전사의 리드, 도적의 재치, 거기에 이 몸의 가락까지 — 이러면 못 이룰 게 없지." 셋의 발소리가 통로를 따라 하나의 박자로 겹쳐진다.
-- tick 20 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 21 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 22 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 23 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 24 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 25 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 26 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 27 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   GM(t18): 어두운 통로를 따라 세 사람은 서로에게서 눈을 떼지 않는다. 두란이 카야의 곁을 지키고, 카야와 피른은 두란의 발걸음에 바짝 붙어 나란히 걸음을 옮긴다.
   봇3  b1 곁을 지키며 따른다
-- tick 28 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 29 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 30 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 31 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 32 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 33 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 34 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 35 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 36 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 37 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 38 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
   GM(t26): 두란과 카야가 어깨를 나란히 하고 좁은 통로를 걸으며 서로의 걸음을 놓치지 않고, 피른은 두란의 곁에 바짝 붙어 발을 맞춘다. 셋의 발소리만이 어둠 속 벽을 타고 나직이 울린다.
-- tick 39 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 40 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 41 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 42 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 43 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 44 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 45 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 46 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 47 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 48 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 49 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   GM(t37): 어두운 통로, 세 사람의 발소리가 하나로 겹친다. 두란이 앞장서 성큼 걷고, 카야는 그 곁에 바짝 붙어 그림자처럼 소리 없이 따르며, 피른은 둘의 뒤를 놓치지 않으려 잰걸음을 보탠다. 대오는 흐트러짐 없이, 서로의 등을 확인하며 어둠 속으로 나아간다.
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 50 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 51 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 52 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 53 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 54 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 55 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
   GM(t48): 이번 턴은 대치나 사건 없이, 두란과 카야가 서로를 따라붙는 조용한 이동 한 걸음이다.
-- tick 56 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 57 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 58 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 59 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 60 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 61 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 62 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 63 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 64 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   GM(t54): 어둠이 깔린 통로에서 세 사람의 발소리가 하나로 맞춰진다. 두란은 카야의 등 뒤를 놓치지 않고 따라붙고, 카야와 피른은 두란의 걸음을 좇으며 나란히 움직인다 — 누구도 앞서거나 뒤처지지 않은 채, 서로의 그림자를 곁에 두고 던전 깊숙이 나아간다.
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 65 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 66 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 67 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 68 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 69 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 70 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 71 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 72 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 73 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 74 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   GM(t63): 어둠이 깔린 통로에서 세 사람의 발소리가 하나로 겹친다. 두란과 카야는 서로의 곁을 놓치지 않으려 나란히 발을 맞추고, 피른은 그 뒤를 바짝 따르며 대열을 흐트러뜨리지 않는다. 잠시, 파티는 흩어지지 않은 채 그림자 속을 함께 나아간다.
   봇3  b1 곁을 지키며 따른다
-- tick 75 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 76 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 77 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 78 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 79 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 80 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 81 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 82 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 83 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 84 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
   GM(t73): 어둠 속 좁은 통로에서 셋의 발소리가 하나로 포개진다. 두란은 카야의 곁을 놓치지 않으려 성큼성큼 다가서고, 카야와 피른은 서로의 걸음에 맞춰 두란 쪽으로 붙어 선다 — 누구도 앞서지 않고, 누구도 뒤처지지 않은 채로.
-- tick 85 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 86 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 87 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 88 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 89 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 90 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 91 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 92 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 93 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   GM(t83): 어둔 통로에서 세 사람의 발소리가 하나로 겹친다. 두란은 카야의 곁을 놓치지 않으려 보폭을 맞추고, 카야와 피른은 두란의 등 뒤에 바짝 붙어 걷는다. 서로의 그림자를 놓치지 않으려는 듯, 파티는 흩어지지 않은 채 어둠 속을 나란히 나아간다.
   봇3  b1 곁을 지키며 따른다
-- tick 94 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 95 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 96 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 97 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 98 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 99 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 100 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
   GM(t92): 어둠이 고인 통로, 세 그림자가 나란히 붙어 걷는다. 두란은 카야의 옆을 지키고, 카야와 피른은 두란의 곁에서 걸음을 맞추니 파티는 한 덩어리가 되어 조용히 앞으로 나아간다.
-- tick 101 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 102 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 103 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 104 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 105 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 106 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 107 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
   GM(t99): 어둠 속에서 세 그림자가 서로의 곁을 맴돈다. 두란은 카야의 걸음을 놓치지 않으려 바짝 붙고, 카야와 피른은 두란의 등을 눈에 담으며 발을 맞춘다 — 누구도 앞서거니 뒤서거니 하지 않는, 그저 서로를 지키며 함께 선 한 걸음이다.
-- tick 108 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 109 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 110 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 111 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 112 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 113 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 114 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 115 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 116 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   GM(t106): 어둠 속에서 발걸음 소리가 서로에게 맞춰진다. 두란과 카야, 피른이 서로의 등을 놓치지 않으려 바짝 붙어 걸으며, 하나의 그림자처럼 통로를 나아간다.
   봇3  b1 곁을 지키며 따른다
-- tick 117 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 118 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 119 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
-- tick 120 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  b1 곁을 지키며 따른다
=== 시간 종료 (틱 한도 120 도달, 지하 1층) — ['1', '2', '3'] 던전에 남음 / 쓰러짐 없음 ===
    (더 길게: DUNGEON_TURNS=400 bash ~/dungeon/start.sh)
   GM(t115): 어둠이 깔린 통로, 셋은 서로의 곁을 놓치지 않으려 발을 맞춘다. 두란이 카야의 옆으로 붙어 서고, 카야와 피른은 두란을 따라 걸음을 옮기며 대열을 유지한 채 나아간다.
   GM(t120): 두란은 카야의 곁을 놓치지 않고 바짝 붙어 서고, 카야와 피른은 두란의 발치를 따라 걸음을 맞춘다. 서로의 등을 살피며 좁은 통로를 셋이 나란히, 하나의 박자로 나아간다.
